geo_accession,title,description,char_0,char_1
"GSM4284723","pat 64 tumor [HDV_64A_S43]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284724","pat 64 non-tumor [HDV_64B_S14]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284725","pat 65 tumor [HDV_65A_S46]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284726","pat 65 non-tumor [HDV_65B_S19]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284727","pat 66 tumor [HDV_66A_S49]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284728","pat 66 non-tumor [HDV_66B_S24]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284729","pat 67 tumor [HDV_67A_S4]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284730","pat 67 non-tumor [HDV_67B_S56]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284731","pat 68 tumor [HDV_68A_S50]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284732","pat 68 non-tumor [HDV_68B_S5]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284733","pat 69 tumor [HDV_69A_S8]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284734","pat 69 non-tumor [HDV_69B_S48]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284735","pat 6 tumor [HDV_6A_S29]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284736","pat 6 non-tumor [HDV_6B_S29]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284737","pat 70 tumor [HDV_70A_S53]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284738","pat 70 non-tumor [HDV_70B_S67]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284739","pat 7 tumor [HDV_7A_S28]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284740","pat 7 non-tumor [HDV_7B_S54]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284741","pat 8 tumor [HDV_8A_S55]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284742","pat 8 non-tumor [HDV_8B_S33]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284743","pat 9 tumor [HDV_9A_S6]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284744","pat 9 non-tumor [HDV_9B_S26]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
